TitleGroupStr,TitleGroupCode,SuffixType,SuffixLen,Mode,说明,负责人,
F10SPOT_BZHY,Ft,1,5,A,现货F10现货标准合约,,
F10SPOT_FJSM,Fu,1,5,A,现货F10现货基本资料附加说明,,
F10SPOT_JYGZ,Fv,1,5,A,现货F10现货交易规则,,
F10SPOT_PZGK,Fw,1,5,A,现货F10现货品种概况,,
F10SPOT_WPHY,Fx,1,5,A,现货F10现货外盘合约,,
F10SPOT_YXYS,Fy,1,5,A,现货F10现货影响因素,,
FenJiShenTieShui,FA,0,0,A,分级基金升贴水?,,
ReportCenter,FB,0,0,A,研报中心,,
StockReport,FC,0,0,A,个股研报,,
SelfStock,a0,3,8,,自选股,,
message.chat,a1,3,8,,点对点消息,,
message.group,a8,3,8,,组消息,,
message.system,a9,3,8,,系统消息,,
WeightMeta,aa,15,-1,,权重信息表,项明,
message.mq,c7,3,8,,内部消息队列,,
message.channel,cd,0,0,,频道消息,,
message.chsubtype,ce,0,0,,频道子消息类型,,
Oauth.Token,a2,4,8,,token认证服务(数据层使用),,
Oauth.App.APP_INFO_KEY,a3,0,0,,app认证服务(数据层使用),,
Oauth.App.ALL_SER_AUTH_KEY,a4,0,0,,,,
Oauth.App.SERVICE_AUTH_KEY,a5,4,8,,,,
Oauth.App.TOKEN_AUTH_KEY,a6,4,8,,,,
Oauth.App.PRIV_KEY,a7,0,0,,,,
userpush.item? ,b0,3,8,,,,
AlarmEvent,b1,3,8,,预警事件的存储,胡安保,
UserStock,b2,10,-1,,用户自选股,项明,
UserAdvisor,b3,10,-1,,用户导师关系,项明,
ZiXuanGuXinWen,b4,10,-1,,用户自选股新闻列表,胡安保,
HuiWenXinWen,b5,10,-1,,用户慧问新闻列表,胡安保,
YongHuZiXuanGu,b6,0,0,,用户自选股列表,胡安保,
YongHuHuiWenDaoShi,b7,0,0,,用户慧问导师列表,胡安保,
UserNewsFavorite,b8,10,-1,,用户收藏新闻,项明,
UserVIPInfo,b9,0,0,,VIP用户信息表,项明,
DiamondRevRank,ba,10,-1,,主播收钻用户贡献榜,项明,
DiamondConsume,bb,10,-1,,用户消费钻信息,项明,
UserNameInfo,bc,0,0,,普通用户信息表,项明,
,bd,,,,,,
,be,,,,,,
,bf,,,,,,
,,,,,,,
Token,c0,4,8,,token认证服务(云平台使用),项明???,
App.APP_INFO_KEY,c1,0,0,,app认证服务(云平台使用),,
App.ALL_SER_AUTH_KEY,c2,0,0,,,,
App.SERVICE_AUTH_KEY,c3,4,8,,,,
App.TOKEN_AUTH_KEY,c4,4,8,,,,
App.PRIV_KEY,c5,0,0,,,,
App.advert.put,c6,3,8,,,,
App.Counter,ca,10,0,,auth2.0 权限计数器,,
App.Auth2.0_TableConst_KEY,cb,0,0,,auth2.0 权限,,
App.Auth2.0_Service__KEY,cc,4,8,,auth2.0 权限,,
UserTotalFluxKey ,cf,0,0,,用户已使用流量数据,,
App.Auth2.0_ShortIDMap_KEY,cg,0,0,,auth2.0 权限，shorID映射,,
UserMapping,c8,0,0,A,用户分组信息映射,,
UserGroup,c9,8,4,,用户分组表,,
StatusNotify,d0,9,8,,状态通知,,
UserProp,d1,0,0,,用户属性表,,
UserDataVer,d2,0,0,,用户属性数据版本,,
PropTableVer,d3,0,0,,属性表数据版本,,
UserMappingNotify,d4,10,-1,,用户分组信息映射变化通知,,
UserAttrs,d5,12,-1,,用户属性数据,,
AttrMeta,d6,0,0,,属性表数据,,
KafkaOffset,d7,13,-1,,kafka分片偏移数据,,
UserAttrsVary,d8,0,0,,用户属性变化记录,,
UserBlackWhiteList ,d9,0,0,,用户黑白名单,,
UserTimerFlux,da,4,8,,用户分时段流量数据,,
MessagePipeInventory,db,,,,消息管道清单,,
MessagePipe,dc,,,,消息管道,,
RtRankAnchorToday,#b,0,0,,主播当日排名,胡家俊,
,#c,,,,,,
,#d,,,,,,
,#e,,,,,,
AnchorTimeStock,+a,,,,分时下股票的主播变动,,
AnchorRoomUserSub,+b,,,,首页用户关注的主播房间变动,,
AnchorBaseInfo,+c,,,,主播基础信息变动,,
AnchorAcceptStock,+d,,,,主播领取股票信息变动,,
,+e,,,,,,
